"Medicijn","Dosisaanpassing","Type","Antwoord"
"Baclofen Aurobindo 10 mg, tabletten","Omdat de kans op bijwerkingen bij oudere patiënten groter is, is in die gevallen een voorzichtige dosering en een goed toezicht aan te bevelen (zie rubriek 4.4).","Ouderen","Geen dosisaanpassing"
"Beclometason Sandoz aërosol 100 microgram/dosis, aërosol (oplossing)","Er is geen aanpassing van de dosering nodig voor patiënten met een verzwakte lever- of nierfunctie.","Leverinsufficiëntie","Geen dosisaanpassing"
"Beclometason Sandoz aërosol 100 microgram/dosis, aërosol (oplossing)","Er is geen aanpassing van de dosering nodig voor patiënten met een verzwakte lever- of nierfunctie.","Nierinsufficiëntie","Geen dosisaanpassing"
"Beclometason Sandoz aërosol 100 microgram/dosis, aërosol (oplossing)","Gebruikelijke dosering: 300-400 microgram per dag, dit kan worden opgevoerd tot 600-800 microgram per dag. De totale dagelijkse dosering dient te worden toegediend in twee tot vier aparte doseringen. De maximale dosering is 1000 microgram per dag. De dosering dient te worden getitreerd tot de laagst mogelijke dosering. Deze kan bij sommige patiënten tot 200 microgram per dag bedragen.","Ouderen","Geen dosisaanpassing"
"Cibacen 5, omhulde tabletten, 5 mg","Voor patiënten met een creatinineklaring van 30-80 ml/min wordt een aanvangsdosis aanbevolen van 5-10 mg per dag. De dosering kan vervolgens op geleide van de bloeddruk langzaam worden verhoogd. Voor patiënten met een creatinineklaring van","Nierinsufficiëntie","Wel dosisaanpassing"
"Cibacen 5, omhulde tabletten, 5 mg","De doseringsaanbevelingen en de speciale voorzorgen bij ouderen zijn gelijk aan die voor andere volwassenen (zie ook ""Farmacokinetische eigenschappen"")","Ouderen","Geen dosisaanpassing"
"Bupropion HCl Accord 150 mg tabletten met gereguleerde afgifte","De werkzaamheid bij ouderen is niet eenduidig aangetoond. In een klinische studie volgden patiënten op leeftijd hetzelfde doseringsschema als volwassenen (zie “Gebruik bij volwassenen”). Een grotere gevoeligheid van sommige individuen op leeftijd kan niet worden uitgesloten.","Ouderen","Geen dosisaanpassing"
"Bupropion HCl Accord 150 mg tabletten met gereguleerde afgifte","Bupropion HCl Accord moet met voorzichtigheid worden gebruikt bij patiënten met een verminderde leverfunctie (zie rubriek 4.4). Door de toegenomen variabiliteit van de farmacokinetiek bij patiënten met een mild tot matig verminderde leverfunctie is de aanbevolen dosering bij deze patiënten 150 mg eenmaal daags.","Leverinsufficiëntie","Wel dosisaanpassing"
"Bupropion HCl Accord 150 mg tabletten met gereguleerde afgifte","De aanbevolen dosering bij deze patiënten is 150 mg eenmaal daags, aangezien bupropion en zijn werkzame metabolieten bij deze patiënten in grotere mate dan normaal kunnen accumuleren (zie rubriek 4.4).","Nierinsufficiëntie","Wel dosisaanpassing"
"Captopril Accord 12,5 mg, tabletten","Omdat captopril voornamelijk via de nieren wordt uitgescheiden dient bij patiënten met een gestoorde nierfunctie de dosering te worden verminderd of het doseringsinterval worden verhoogd. Indien bij patiënten met een ernstig gestoorde nierfunctie gelijktijdige behandeling met een diureticum is vereist, is een lisdiureticum (bijv. furosemide) te verkiezen boven een thiazide-diureticum.","Nierinsufficiëntie","Wel dosisaanpassing"
"Captopril Accord 12,5 mg, tabletten","Zoals ook bij andere antihypertensiva dient aandacht te worden gegeven aan het instellen van de behandeling met een lagere aanvangsdosering (6,25 mg, tweemaal daags) van oudere patiënten die mogelijk een verminderde functie van de nieren en andere organen hebben (zie boven en rubriek 4.4). De dosering dient te worden verhoogd op basis van de bloeddruk respons, en dient zo laag mogelijk te worden gehouden als nodig voor een adequate controle.","Ouderen","Wel dosisaanpassing"
"Carbamazepine Aurobindo retard 200 mg, tabletten met gereguleerde afgifte","Bij oudere patiënten dient voorzichtig te worden gedoseerd vanwege een mogelijke gewijzigde farmacokinetiek en het toegenomen risico op het optreden van interacties met andere middelen (zie rubriek 4.5).","Ouderen","Geen dosisaanpassing"
"Carivalan 6,25 mg/5 mg filmomhulde tabletten","Voor patiënten met nierinsufficiëntie en een creatinineklaring van meer dan15 ml/min (zie rubriek 5.2) en systolische bloeddruk van meer dan 100 mmHg hoeft de dosering niet te worden aangepast.","Nierinsufficiëntie","Geen dosisaanpassing"
"Carivalan 6,25 mg/5 mg filmomhulde tabletten","Er zijn geen gegevens beschikbaar van patiënten met creatinineklaring van minder dan 15 ml/min. Bij het gebruik van Carivalan bij deze populatie dient dan ook voorzichtigheid in acht genomen te worden.","Nierinsufficiëntie","Niet onderzocht"
"Carivalan 6,25 mg/5 mg filmomhulde tabletten","Bij patiënten met lichte tot matige leverinsufficiëntie kan het nodig zijn om de dosis aan te passen. Voorzichtigheid is geboden bij patiënten met matige leverinsufficiëntie (zie rubrieken 4.4 en 5.2). ","Leverinsufficiëntie","Wel dosisaanpassing"
"Carivalan 6,25 mg/5 mg filmomhulde tabletten","Carivalan is gecontra-indiceerd bij patiënten met ernstige leverinsufficiëntie (zie rubrieken 4.3 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Carivalan 6,25 mg/5 mg filmomhulde tabletten","Carivalan kan met voorzichtigheid worden toegediend aan patiënten op leeftijd (zie rubriek 5.2).","Ouderen","Geen dosisaanpassing"
"Bixocel 100 mg, capsules, hard","Evenals bij jongere volwassenen dient de aanvangsdosis 200 mg per dag te zijn. Indien nodig kan de dosering daarna worden verhoogd tot 200 mg tweemaal daags. Bijzondere voorzichtigheid is geboden bij ouderen met een lichaamsgewicht van minder dan 50 kg (zie rubrieken 4.4 en 5.2).","Ouderen","Geen dosisaanpassing"
"Bixocel 100 mg, capsules, hard","Bij patiënten met een vastgestelde matig gestoorde leverfunctie met een serumalbumine van 25-35 g / l dient de behandeling met de helft van de aanbevolen dosering te worden gestart. De ervaring bij deze patiënten is beperkt tot het gebruik bij patiënten met cirrose (zie rubrieken 4.3, 4.4 en 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Bixocel 100 mg, capsules, hard","De ervaring met celecoxib bij patiënten met een licht of matig gestoorde nierfunctie is beperkt. Deze patiënten dienen daarom met voorzichtigheid te worden behandeld (zie rubrieken 4.3, 4.4 en 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Allergietabletten HTP Cetirizine diHCl 10 mg, filmomhulde tabletten","Gegevens wijzen er niet op dat bij oudere patiënten met een normale nierfunctie de dosis moet worden aangepast.","Ouderen","Geen dosisaanpassing"
"Allergietabletten HTP Cetirizine diHCl 10 mg, filmomhulde tabletten","Bij patiënten met een nierfunctiestoornis zijn geen gegevens voorhanden voor het vaststellen van de ratio werkzaamheid/veiligheid. Omdat cetirizine voornamelijk via de nieren wordt uitgescheiden (zie rubriek 5.2) moeten in gevallen dat geen alternatieve behandeling kan worden toegepast, de doseringsintervallen individueel worden aangepast overeenkomstig de nierfunctie. Voor het aanpassen van de dosis wordt verwezen naar onderstaande tabel.","Nierinsufficiëntie","Wel dosisaanpassing"
"Allergietabletten HTP Cetirizine diHCl 10 mg, filmomhulde tabletten","Bij patiënten met uitsluitend een leverfunctiestoornis is geen aanpassing van de dosis nodig. ","Leverinsufficiëntie","Geen dosisaanpassing"
"Cipramil 20 mg filmomhulde tabletten","Voor ouderen patiënten dient de aanbevolen dagelijkse dosering gehalveerd te worden, d.w.z. 10-20 mg per dag. De aanbevolen maximumdosis voor ouderen is 20 mg per dag.","Ouderen","Wel dosisaanpassing"
"Cipramil 20 mg filmomhulde tabletten","Bij patiënten met een licht tot matig gestoorde nierfunctie hoeven geen speciale voorzorgen getroffen te worden met betrekking tot de dosering. Voldoende informatie ontbreekt nog over de behandeling van patiënten met een ernstig gestoorde nierfunctie (glomerulaire filtratiesnelheid minder dan 30 ml/min).","Nierinsufficiëntie","Geen dosisaanpassing"
"Cipramil 20 mg filmomhulde tabletten","Voor de eerste twee weken van de behandeling wordt een startdosis van 10 mg per dag aanbevolen voor patiënten met een lichte of matige leverfunctiestoornis. Afhankelijk van de individuele respons kan de dosis worden verhoogd tot maximaal 20 mg per dag. Er wordt geadviseerd voorzichtigheid te betrachten en extra behoedzaam te zijn bij het verhogen van de dosering bij patiënten met een ernstig verminderde leverfunctie (zie rubriek 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Duac Acne Gel 10 mg/g + 50 mg/g, gel","Geen specifieke aanbevelingen.","Ouderen","Geen dosisaanpassing"
"Clonazepam Sandoz 0,5 mg, tabletten","ouderen en verzwakte patiënten Een zeer zorgvuldige doseringsaanpassing, over het algemeen dosisvermindering, en grote zorgvuldigheid bij het gebruik is vereist bij deze patiënten.","Ouderen","Wel dosisaanpassing"
"Clonazepam Sandoz 0,5 mg, tabletten","Bij patiënten met ernstige leverschade (b.v. levercirrose) kunnen benzodiazepinen encefalopathie veroorzaken (zie rubriek 4.3). Clonazepam moet met voorzichtigheid toegediend worden aan patiënten met mild tot matig verminderde leverfunctie, waarbij de laagst mogelijke dosis gebruikt moet worden.","Leverinsufficiëntie","Wel dosisaanpassing"
"Clopidogrel Accord 75 mg filmomhulde tabletten","De therapeutische ervaring is beperkt bij patiënten met een nierfunctiestoornis (zie rubriek 4.4).","Nierinsufficiëntie","Niet onderzocht"
"Clopidogrel Accord 75 mg filmomhulde tabletten","De therapeutische ervaring is beperkt bij patiënten met een matige leverziekte die bloedingsdiathesen kunnen hebben (zie rubriek 4.4).","Leverinsufficiëntie","Niet onderzocht"
"Codeïnefosfaat Expharma 10 mg tabletten","Er zijn geen gegevens bekend voor het gebruik van codeïne bij patiënten met lichte tot matige leverinsufficiëntie. Bij deze patiënten is voorzichtigheid geboden voor het bepalen van de juiste therapeutische dosis.","Leverinsufficiëntie","Niet onderzocht"
"Dexamethason CF 20 mg/ml, oplossing voor injectie","Er is geen dosisaanpassing nodig.","Ouderen","Geen dosisaanpassing"
"Dexamethason CF 20 mg/ml, oplossing voor injectie","Er is geen dosisaanpassing nodig.","Leverinsufficiëntie","Geen dosisaanpassing"
"Dexamethason CF 20 mg/ml, oplossing voor injectie","Er is geen dosisaanpassing nodig.","Nierinsufficiëntie","Geen dosisaanpassing"
"Diazepam Allgen rektiole 5 mg, oplossing voor rectaal gebruik 5 mg/2,5 ml","Oudere en verzwakte patiënten dienen niet meer dan de helft van de gebruikelijke dosering voor volwassenen toegediend te krijgen.","Ouderen","Wel dosisaanpassing"
"Diazepam Allgen rektiole 5 mg, oplossing voor rectaal gebruik 5 mg/2,5 ml","Ook bij patiënten met lever-of nierfunctiestoornis kan dosisreductie noodzakelijk zijn.","Leverinsufficiëntie","Wel dosisaanpassing"
"Diazepam Allgen rektiole 5 mg, oplossing voor rectaal gebruik 5 mg/2,5 ml","Ook bij patiënten met lever-of nierfunctiestoornis kan dosisreductie noodzakelijk zijn.","Leverinsufficiëntie","Wel dosisaanpassing"
"Lanoxin Injectie oplossing voor injectie 0,5 mg = 2 ml","Bij oudere patiënten moet rekening worden gehouden met de mogelijkheid van een verminderde nierfunctie en een lagere vetvrije lichaamsmassa. Zo nodig moet de dosering worden verminderd en aangepast aan de veranderde farmacokinetiek om verhoogde serumspiegels van digoxine en het risico van toxiciteit te voorkomen. De serumspiegels van digoxine moeten regelmatig worden gecontroleerd en hypokaliëmie moet worden vermeden.","Ouderen","Wel dosisaanpassing"
"Lanoxin Injectie oplossing voor injectie 0,5 mg = 2 ml","De dosisaanbevelingen moeten worden herzien voor oudere patiënten of indien er andere redenen zijn voor een verminderde klaring van digoxine via de nieren. Vermindering moet voor zowel de initiële als voor de onderhoudsdoses worden overwogen (zie rubriek 4.4).","Nierinsufficiëntie","Wel dosisaanpassing"
"Diltiazem HCl Auro retard 90 mg, tabletten met gereguleerde afgifte","Bij oudere patiënten, patiënten met nier-, lever-, of hartinsufficiëntie, patiënten met eerste graads AV-blok en patiënten met een niet-ernstige bradycardie wordt aanbevolen met 2 maal daags 1 tablet 90 mg (180 mg per dag) te beginnen en eventueel daarna de dosering te verhogen.","Ouderen","Wel dosisaanpassing"
"Diltiazem HCl Auro retard 90 mg, tabletten met gereguleerde afgifte","Bij oudere patiënten, patiënten met nier-, lever-, of hartinsufficiëntie, patiënten met eerste graads AV-blok en patiënten met een niet-ernstige bradycardie wordt aanbevolen met 2 maal daags 1 tablet 90 mg (180 mg per dag) te beginnen en eventueel daarna de dosering te verhogen.","Leverinsufficiëntie","Wel dosisaanpassing"
"Diltiazem HCl Auro retard 90 mg, tabletten met gereguleerde afgifte","Bij oudere patiënten, patiënten met nier-, lever-, of hartinsufficiëntie, patiënten met eerste graads AV-blok en patiënten met een niet-ernstige bradycardie wordt aanbevolen met 2 maal daags 1 tablet 90 mg (180 mg per dag) te beginnen en eventueel daarna de dosering te verhogen.","Nierinsufficiëntie","Wel dosisaanpassing"
"Navazil 5 mg filmomhulde tabletten","Aangezien de klaring van donepezilhydrochloride niet wordt beïnvloed door nierinsufficiëntie, kan voor patiënten met deze aandoening een vergelijkbaar doseringsschema worden gevolgd.","Nierinsufficiëntie","Geen dosisaanpassing"
"Navazil 5 mg filmomhulde tabletten","Gezien de mogelijk verhoogde blootstelling bij lichte tot matige leverinsufficiëntie (zie rubriek 5.2) moet de dosisescalatie plaatsvinden in functie van de individuele tolerantie. ","Leverinsufficiëntie","Wel dosisaanpassing"
"Navazil 5 mg filmomhulde tabletten","Er zijn geen gegevens beschikbaar voor patiënten met ernstige leverinsufficiëntie.","Leverinsufficiëntie","Niet onderzocht"
"Doxycycline Aurobindo Disper 100 mg, tabletten.","Onderzoek heeft geen significant verschil in plasma halfwaardetijd van doxycycline (ongeveer 20 uur) aangetoond bij individuen met normale of ernstig verminderde nierfunctie. In geval van een verminderde nierfunctie is aanpassing van de dosering derhalve niet noodzakelijk.","Nierinsufficiëntie","Geen dosisaanpassing"
"Doxycycline Aurobindo Disper 100 mg, tabletten.","Bij patiënten met een verminderde leverfunctie dient doxycycline met voorzichtigheid te worden gebruikt (zie rubriek 4.4).","Leverinsufficiëntie","Geen dosisaanpassing"
"Cymbalta 30 mg harde maagsapresistente capsules","Er wordt geen doseringsaanpassing aanbevolen voor oudere patiënten uitsluitend op basis van leeftijd. Echter, voorzichtigheid is geboden, net als met ieder geneesmiddel, bij het behandelen van ouderen, in het bijzonder bij 120 mg Cymbalta per dag voor depressieve stoornis of gegeneraliseerde angststoornis waarvoor beperkte gegevens zijn (zie rubrieken 4.4 en 5.2).","Ouderen","Geen dosisaanpassing"
"Cymbalta 30 mg harde maagsapresistente capsules","Cymbalta mag niet worden gebruikt bij patiënten met een leveraandoening die leidt tot leverfunctiestoornis (zie de rubrieken 4.3 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Cymbalta 30 mg harde maagsapresistente capsules","Voor patiënten met lichte of matige nierdisfunctie (creatinineklaring 30 tot 80 ml/min) is geen doseringsaanpassing noodzakelijk","Nierinsufficiëntie","Geen dosisaanpassing"
"Cymbalta 30 mg harde maagsapresistente capsules","Cymbalta mag niet worden gebruikt door patiënten met ernstige nierfunctiestoornis (creatinineklaring < 30 ml/min; zie rubriek 4.3).","Nierinsufficiëntie","Gecontra-indiceerd"
"Enalapril Maleaat Mylan 5 mg, tabletten","Over het algemeen dienen de intervallen tussen de toedieningen van enalapril te worden verlengd en/of dient de dosering te worden verlaagd.","Nierinsufficiëntie","Wel dosisaanpassing"
"Enalapril Maleaat Mylan 5 mg, tabletten","De dosis moet worden aangepast aan de nierfunctie van de oudere patiënt (zie rubriek 4.4.).","Ouderen","Wel dosisaanpassing"
"Escitalopram Accord 5 mg filmomhulde tabletten","De startdosering is eenmaal daags 5 mg. Afhankelijk van de uitwerking op de patiënt kan de dosis worden verhoogd tot 10 mg per dag (zie rubriek 5.2).","Ouderen","Wel dosisaanpassing"
"Escitalopram Accord 5 mg filmomhulde tabletten","De werkzaamheid van Escitalopram Accord is niet onderzocht bij oudere patiënten met sociale angststoornis.","Ouderen","Niet onderzocht"
"Escitalopram Accord 5 mg filmomhulde tabletten","Doseringsaanpassing is niet nodig bij patiënten met een lichte of matige vorm van nierinsufficiëntie. Voorzichtigheid is geboden bij patiënten met ernstige nierinsufficiëntie (CLCR minder dan 30 ml/min.) (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Escitalopram Accord 5 mg filmomhulde tabletten","Een startdosis van 5 mg per dag wordt aanbevolen gedurende de eerste twee behandelweken bij patiënten met een lichte of matige vorm van leverinsufficiëntie. Afhankelijk van de individuele uitwerking op de patiënt kan de dosis worden verhoogd tot 10 mg per dag. Voorzichtigheid en extra zorgvuldige dosistitratie wordt geadviseerd bij patiënten met een ernstig verminderde leverfunctie. (zie rubriek 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Esobax 20 mg, maagsapresistente tabletten","Bij patiënten met een verminderde nierfunctie is aanpassing van de dosering niet nodig. Patiënten met een ernstig gestoorde nierfunctie dienen, vanwege de beperkte ervaring, met voorzichtigheid te worden behandeld (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Esobax 20 mg, maagsapresistente tabletten","Bij patiënten met een mild tot matig gestoorde leverfunctie is aanpassing van de dosering niet nodig.","Leverinsufficiëntie","Geen dosisaanpassing"
"Esobax 20 mg, maagsapresistente tabletten","Bij patiënten met een ernstig verminderde leverfunctie dient een maximale dosering van 20 mg niet overschreden te worden (zie rubriek 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Esobax 20 mg, maagsapresistente tabletten","Bij ouderen is aanpassing van de dosering niet nodig","Ouderen","Geen dosisaanpassing"
"Esomeprazol Aristo 20 mg, maagsapresistente capsules, hard","Voor patiënten met nierinsufficiëntie hoeft de dosis niet te worden aangepast. Vanwege de beperkte ervaring met patiënten met ernstige nierinsufficiëntie, is voorzichtigheid geboden bij de behandeling van deze patiënten (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Esomeprazol Aristo 20 mg, maagsapresistente capsules, hard","Voor patiënten met lichte tot matige leverinsufficiëntie hoeft de dosis niet te worden aangepast.","Leverinsufficiëntie","Geen dosisaanpassing"
"Esomeprazol Aristo 20 mg, maagsapresistente capsules, hard","Voor patiënten met ernstige leverinsufficiëntie mag een maximale dosis van 20 mg esomeprazol niet worden overschreden (zie rubriek 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Esomeprazol Aristo 20 mg, maagsapresistente capsules, hard","Voor ouderen hoeft de dosis niet te worden aangepast.","Ouderen","Geen dosisaanpassing"
"Benepali 25 mg oplossing voor injectie in een voorgevulde spuit","Er is geen doseringsaanpassing noodzakelijk.","Leverinsufficiëntie","Geen dosisaanpassing"
